Name	Set	ImageFile	Type	Faction	Subtitle	Cost	Requires	Provides	Fighting	Power	Body	Rarity	Designators	Text	Script
Rainforest Tepui	rainforestrumble	rainforest_tepui.png	Feng Shui Site	Unaligned	Feng Shui Site	0				1	7	Fixed	rainforest tepui	Turn and discard a copy of a Limited or Unique card in play or in any smoked pile :: If any opponent is at least as close to victory as you are, gain a Power.	
Rainforest Tributary	rainforestrumble	rainforest_tributary.png	Feng Shui Site	Unaligned	River Feng Shui Site	0				1	10	Fixed	rainforest tributary river	You may play this card during an opponent's attack against a card you control. You may play this card face up at a location that contains a single Site. This card becomes the new front-row Site. The other Site moves to the back row. This may change the target of the attack.	
The Red Sea	rainforestrumble	the_red_sea.png	Feng Shui Site	Unaligned	Feng Shui Site	0				1	7	Fixed	red sea	Unique. Target a Site and turn :: Cancel target until the end of the turn.	
Regenerative Canopy	rainforestrumble	regenerative_canopy.png	Feng Shui Site	Unaligned	Rainforest Feng Shui Site	0				1	7	Fixed	regenerative canopy rainforest	Turn :: You may heal 1 damage from each of your Sites and you may rearrange your Site structure. This cannot move a Site to a position that was not previously occupied. This may change the target of an attack.	
Repository of Dark Knowledge	rainforestrumble	repository_of_dark_knowledge.png	Feng Shui Site	Unaligned	Netherworld Feng Shui Site	0				1	8	Fixed	repository dark knowledge netherworld	Cannot be burned. Once per turn, you may turn this card :: All players draw 1 card. You may discard a card.	
The Island of Dr. Nordstrom	rainforestrumble	the_island_of_dr_nordstrom.png	Site	Unaligned	Secret Netherworld Site	2				1	8	Fixed	island dr nordstrom secret netherworld	While playing <Clone> Characters, you may substitute the resource conditions on those cards for any in your pool. This ability is active in your smoked pile. Turn :: Search your deck for a <Clone> Character, reveal it, and add it to your hand.	
Battlecopter	rainforestrumble	battlecopter.png	State	Unaligned	State	4						Fixed	battlecopter	Vehicle. Subject Character gains +6 Fighting and Mobility. Characters you control at this card's location gain tactics. When a Character you control uses Tactics at this card's location, you may target a Character or Site at the location of the attack :: Inflict one non-combat damage on target.	
Gauss Rifle	rainforestrumble	gauss_rifle.png	State	Unaligned	Gun State	2						Fixed	gauss rifle gun	Weapon. Subject Character gains Assassinate and inflicts +2 combat damage. Subject cannot be intercepted while attacking a card controlled by an opponent who only controls one location.	
ZRV2 Mobile Rocket Launcher	rainforestrumble	zrv2_mobile_rocket_launcher.png	State	Unaligned	State	3						Fixed	zrv2 mobile rocket launcher	Vehicle. Subject Character gains +4 Fighting while this card is unturned. Turn and target a Character or Site at this location :: Inflict 3 non-combat damage on target.	
Underground Depot	rainforestrumble	underground_depot.png	Feng Shui Site	Unaligned	Feng Shui Site	0				1	7	Fixed	underground depot	Turn during your Main Shot :: Play a Vehicle or Weapon State on a card at this location at -1 cost.	
Monkey King	rainforestrumble	monkey_king.png	Edge	Ascended	Edge	2	{asc}					Fixed	monkey king	Turn and choose a {lot} card you do not control :: Return that card to its owner's hand.	
Specialist	rainforestrumble	specialist.png	State	Unaligned	State	1						Fixed	specialist	Not Cumulative. You must have four of the same faction resource in your pool to play this card. Play on a Character you own. Subject copies its own rules text.	
Warrior Poet	rainforestrumble	warrior_poet.png	Character	Guiding Hand	Martial Artist	3	{han}	{han}{chi}	3			Fixed	warrior poet martial artist	Superleap. Once per Main Shot, when an opponent plays an Event, you may play an Event or State at -1 cost.	
Yogi Becky	rainforestrumble	yogi_becky.png	Character	Guiding Hand	Buddhist Teacher	3	{han}{han}	{han}{chi}	3			Fixed	yogi becky buddhist teacher	Unique. Cannot attack Characters. At the start of your Main Shot, heal damage from cards you control up to the number of {chi} resources in your pool. For each damage healed this way, you may draw a card.	
